Pattern Name,,Product Description,Designer,Craft,Skill Level,# of Projects,Season,Finished Measurements,Yarn Requirements,Needles and Other Materials,Gauge,Yarn Weight,Fiber Content
Dine PDF,Downloadable PDF,"A long silhouette paired with a simple textured stitch pattern sets this elegant knitted cardigan apart. Knit in a chunky weight yarn, this wardrobe staple, complete with pockets, is a quick knit. ",Michele Wang,Knitting,Intermediate,N/A,Fall/Winter,"Bust (closed): 36(40-44-48-52)”

Length: 28½(29½-30½-31-32)”","8(9-11-12-13) hanks of Berroco Ultra Alapca Chunky, shown in #7292 Tiger's Eye Mix","32” length circular needle, size 10 (6.00mm) or SIZE TO OBTAIN GAUGE

60” length circular needle, size 9 (5.50mm) (or 1 size smaller than gauge needle)

Stitch markers

Five 1” buttons

Tapestry needle

Blocking tools","16 sts = 4”; 22 rows = 4” in St st using larger needle

16 sts = 4”; 32 rows = 4” in Garter St using larger needle",Bulky,50% Alpaca/ 50% Wool
Banner PDF,Downloadable PDF,"The colorblock Banner pullover from Berroco is a fun way to play with color. A side panel that adds texture and interest and Berroco Ultra Alpaca Chunky ensures that this sweater will be cozy and warm. The body is worked flat in pieces from the bottom up to the shoulders, which are shaped using short rows. Side seams are sewn then sleeve stitches are picked up and worked to cuff in the round.",Ellen Mason,Knitting,Intermediate,N/A,Fall/Winter,"Bust – 36¾ (41¼, 44¾, 48, 52¾, 56)""
Length – 20½ (20¾, 21, 22¼, 22½, 22¾)""","Berroco Ultra Alpaca Chunky:

Main Color – 4 (5, 5, 6, 6, 7) hanks, shown in #7207 Salt & Pepper
Contrast Color – 1 (2, 2, 2, 2, 2) hanks, shown in #7201 Winter White ","US 10 (6.00mm) straights, 16"" circular, and double pointed needles","14 sts and 20 rows = 4"" in stockinette stitch",Bulky,50% Alpaca/ 50% Wool
Hoist PDF,Downloadable PDF,Hoist from Berroco is a dolman sleeve pullover knit in one piece from the top down with clever integrated shaping. A textured front panel matches the coordinating cowl and makes Hoist a project that will keep your interest. Ultra Alpaca Chunky is a blend of alpaca and wool that works up quickly into warm and cozy garments and accessories.,Norah Gaughan,Knitting,Advanced,N/A,Fall/Winter,"Sizes: to fit 30 (34, 38, 42, 46, 50, 54)” bust

Circumference at underarm – 44½ (49, 50½, 53½, 56, 58½, 60½)”
Length – 22 (22½, 23, 24, 24½, 25, 25½)”","Berroco Ultra Alpaca Chunky:

Cowl –  2 hanks, shown in color #7206
Sweater – 6 (6, 7, 7, 8, 8, 8) hanks, shown in color #7206","US 8 (5.00mm) 24 and 29"" circulars
US 10 (6.00mm) 24 and 29” circulars and single points",14 sts and 20 rows = 4” in stockinette stitch using larger needles,Bulky,50% Alpaca/ 50% Wool
Maison Delaunay PDF,Downloadable PDF,"Berroco's Maison Delaunay is a swingy raglan pullover worked top-down in the round with eyelet details. Knit using Berroco Ultra Alpaca Chunky, the diagonal eyelet pattern creates an eye-catching design feature. Quick to knit on large needles, Maison Delainay is a great addition to your winter wardobe!",Norah Gaughan,Knitting,Advanced,N/A,Winter,"Sizes: to fit 30 (34, 38, 42, 46, 50, 54)” bust

Bust – 32 (36, 40, 44, 48, 52)”
Length – 21½ (22, 23, 23½, 24½, 25)” in front and approximately 4” longer in back","4 (5, 6, 6, 7, 8) hanks Berroco Ultra Alpaca Chunky, shown in #72182 Indigo Mix",US 10 (6.00mm) 16 and 29” circulars and double pointed needles,14 sts and 20 rnds = 4” in stockinette stitch,Bulky,50% Alpaca/ 50% Wool
Duchamp PDF,Downloadable PDF,"Berroco Duchamp is a wrap worked with dramatic texture in a modular construction. A quick knit in Berroco Ultra Alpaca Chunky yarn, this wrap is sure to be extra warm and cozy with the combination of super fine alpaca and Peruvian wool! ",Brenda York,Knitting,Beginner,N/A,Winter,"One Size
Width across top edge – 104""
Depth at center – 15""","4 hanks Berroco Ultra Alpaca Chunky, show in #72183 Garnet Mix",US 11 (8.00mm) straights or size needed to obtain gauge,13 sts and 18 rows = 4” in stockinette stitch,Bulky,50% Alpaca/ 50% Wool
Orpheus PDF,Downloadable PDF,"The Berroco Orpheus hat is a stylish, striped accessory that is deceptively simple to knit! Two colors alternate in garter and stockinette stitch stripes, and with the extensive color palette of Berroco Ultra Alpaca Chunky, the combinations are nearly endless! Clever seaming transforms a simply knit rectangle into a stylish hat, giving you a truly unique hat in no time.",Norah Gaughan,Knitting,Beginner,N/A,Winter,"One Size
Circumference – 21""
Height – 9""","Berroco Ultra Alpaca Chunky:
A – 1 hank, shown in #7245 Pitch Black
B – 1 hank, shown in #7207 Salt & Pepper ",US 10 (6.00mm) straights or size needed to obtain gauge,14 sts and 20 rows = 4” in stockinette stitch,Bulky,50% Alpaca/ 50% Wool
Cendrars PDF,Downloadable PDF,"Berroco Cendrars is a fabulous, colorful fraternal mitten set knit with five colors of Berroco Ultra Alpaca Chunky. Warm, cozy, and extra fun, these mittens are a quick-knit seamless project that would make great gifts! With a nearly endless combination of colors, it's easy to customize these for each person on your list! ",Emily Nora O’Neil,Knitting,Intermediate,N/A,Winter,"One Size
Circumference – approx. 7½""
Length – 9½""","Berroco Ultra Alpaca Chunky:
A – 1 hank, shown in #7214 Steel Cut Oats 
B – 1 hank, shown in #7236 Chianti
C – 1 hank, shown in #7201 Winter White 
D – 1 hank, shown in #7292 Tiger’s Eye Mix
E – 1 hank, shown in #7206 Light Gray ",US 10 (6.00mm) DPNs or size needed to obtain gauge,14 sts and 20 rnds = 4” in stockinette stitch,Bulky,50% Alpaca/ 50% Wool
Apollinaire PDF,Downloadable PDF,"Featuring allover textures, worked seamlessly down the long cuff, Berroco Apollinaire is a set of charming mitts that use just one hank of Berroco Ultra Alpaca Chunky. Soft, warm, and quick to knit, Apollinaire is an ideal project to make for gifts, and with the extensive color palette of Ultra Alpaca Chunky, it will be easy to find the perfect shade for everyone on your list!",Berroco Design Team,Knitting,Intermediate,N/A,Winter,"One Size
Circumference – approx. 8""
Length – 11""","1 hanks Berroco Ultra Alpaca Chunky, show in #7285 Oceanic Mix","US 9 (5.50mm) double pointed needles
   US 10 (6.00mm) double pointed needles",14 sts and 20 rnds = 4” in pattern stitch on larger needles,Bulky,50% Alpaca/ 50% Wool
Robes-Poems PDF,Downloadable PDF,"Berroco Robes-Poems is a stunning oversized wrap-poncho hybrid that features Art-Deco-inspired texture. Knit in Berroco Ultra Alpaca Chunky, this garment is warm and cozy—the perfect thing to wrap up in on cold winter days! Robes-Poems is knit all in one piece, beginning at the back hem and working to the split for the fronts at the shoulder. A deep ribbed collar adds extra warmth and texture, giving this project a great finishing touch.",Emily Nora O’Neil,Knitting,Beginner,N/A,Fall/Winter,"One Size
Width – 42""
Length – 26""","1 hanks Berroco Ultra Alpaca Chunky, show in #7279 Potting SOil Mix","US 9 (5.50mm) 32"" circular
US 10 (6.00mm) 32"" circular",15 sts and 23 rows = 4” in pattern on larger needle,Bulky,50% Alpaca/ 50% Wool
Rythme PDF,Downloadable PDF,"Colors and cables pop in Rythme, a charming pullover from Berroco. Knit in Berroco Ultra Alpaca Chunky, this sweater is cozy and warm and will keep you warm all winter long! Rythme is knit flat in pieces from the bottom up and then seamed. Both the front and back of this pullover feature basic intarsia to create the colorblock design.",Emily Nora O’Neil,Knitting,Intermediate,N/A,Fall/Winter,"Sizes: to fit 30 (34, 38, 42, 46, 50)”
Bust – 36 (40, 44, 48, 52, 56)”
Length – 19½ (20, 21, 21, 22, 22½)”","Berroco Ultra Alpaca Chunky:
A – 1 hank, shown in #7292 Tiger’s Eye Mix 
B – 5 (6, 6, 7, 8, 9) hanks #7214 Steel Cut Oats 
C – 2 hanks, shown in #7279 Potting Soil Mix 
D – 1 hank, shown in #72186 Caribbean Mix","US 8 (5.00mm) straights
US 9 (5.50mm) straights and 16"" circular","16 sts and 22 rows = 4” in reverse stockinette stitch on larger needles
26 sts and 22 rows = 4” in charted pattern on larger needles
20 sts and  22 rows = 4” in ribbing on larger needles",Bulky,50% Alpaca/ 50% Wool
Simultane PDF,Downloadable PDF,"On Berroco Simultane, the easiest of intarsia panels elevate this neat little cardigan that is sure to be a wardrobe staple. Knit with Berroco Ultra Alpaca Chunky, this sweater is warm, cozy, and quick to knit on large needles too! Simultane is knit flat in pieces from the bottom up and seamed.",Berroco Design Team,Knitting,Intermediate,N/A,Fall/Winter,"Sizes: XS (S, M, L, 1X, 2X); to fit 30 (34, 38, 42, 46, 50)” bust
Bust (closed) – 32 (36, 40, 44, 48, 52)”
Length – 18½ (19, 20, 20, 21, 21½)”","Berroco Ultra Alpaca Chunky:
Main Color - 5 (5, 6, 7, 8, 8) hanks, shown in color #7214 Steel Cut Oats
Contrast Color - 1 hank, shown in #7292 Tiger’s Eye Mix ",US 10 (6.00mm) straights or size needed to obtain gauge,14 sts and 20 rows = 4” in stockinette stitch,Bulky,50% Alpaca/ 50% Wool
Ultra Alpaca Chunky #349 E-Book,eBook,"Berroco 349 Ultra Alpaca Chunky is a collection of 8 sweaters and accessories that are innovative, colorful, and unique. The warm rich palette of Ultra Alpaca Chunky shines in these designs, and the soft and warm blend of superfine alpaca and Peruvian Highland wool ensures that these projects will keep you cozy all winter! ",Berroco Design Team,Knitting,Beginner - Advanced,8,Fall/Winter,N/A,Berroco Ultra Alpaca,N/A,N/A,Worsted,50% Alpaca/ 50% Wool
Abatina PDF,Downloadable PDF,Abatina is a beautiful tunic that's worked in one piece from lower front edge to lower back edge. Stitches are then cast on for sleeves. Berroco Folio is used to create softness and drape for this versatile sweater.,Emily Nora O’Neil,Knitting,Intermediate,N/A,Fall/Winter/Spring,"Bust - 46 (52, 58, 64)” length - 30 (31, 32, 33)”","5 (6, 7, 7) balls Berroco Folio, shown in #4543 Birch","16” and 29” length circular knitting needles, size US 8 (5mm) ",16 sts and 32 rows = 4” in Garter St,DK,"65% Alpaca, 35% Rayon"
Lucerne PDF,Downloadable PDF,This beautiful circular shawl is knit in the round from the center out and has an easy to remember stitch pattern. Lucerne is created using Berroco Folio which provides wonderful drape and softness.,Emily Nora O’Neil,Knitting,Intermediate,N/A,Fall/Winter/Spring,Approximately 52” across (after blocking),8 balls Berroco Folio,"1 set (4) double pointed knitting needles, size US 5 (3.75mm) 16” and 32” length circular knitting needles, size US 5 (3.75mm)",22 sts and 32 rnds = 4” in St st,DK,"65% Alpaca, 35% Rayon"
Odora PDF,Downloadable PDF,"Odora is a gorgeous, oversized lace shawl. Knit in Berroco Folio, Odora is soft a cozy while still being lightweight.",Emily Nora O’Neil,Knitting,Intermediate,N/A,Fall/Winter/Spring,Approximately 86” across top edge x 33” down center (after blocking),"4 balls Berroco Folio, shown in #4540 Pebble","29” length circular knitting needle, size US 8 (5mm) ",16 sts and 32 rows = 4” in Garter St,DK,"65% Alpaca, 35% Rayon"
Oleander PDF,Downloadable PDF,"Oleander is a beautiful shawl that's worked in one piece in the round. The chart is worked four times around, using Berroco Folio which creates great drape and flow.",Emily Nora O’Neil,Knitting,Intermediate,N/A,Fall/Winter/Spring,Approximately 42” square (after blocking),"7 balls Berroco Folio, shown in #4516 Tea Rose","1 set (5) double pointed knitting needles, size US 5 (3.75mm), 24” and 36” length circular knitting needles, size US 5 (3.75mm)",22 sts and 32 rnds = 4” in Reverse St st,DK,"65% Alpaca, 35% Rayon"
Enso PDF,Downloadable PDF,"Berroco’s Enso is a cowl/shawl hybrid comprised of luxurious knitted lace that wraps and twists around you, adding elegance and warmth. Knit flat, this piece is seamed with a twist for a mobius effect.",Emily Nora O’Neil,Knitting,Intermediate,N/A,Fall/Winter/Spring,Approximately 16” wide x 46” long,"2 balls Berroco Folio, shown in color #4510",US 8 (5.00mm) ,17 sts and 26 rows = 4” in pattern,DK,"65% Alpaca, 35% Rayon"
Iwo PDF,Downloadable PDF,"Berroco Iwo is an elongated triangle made of two colors which can be worn wrapped on the body in a variety of ways. Berroco Folio lends softness and drape to this wrap, and this alpaca and rayon blend will be lightweight and warm. Iwo is knit flat in one piece, with simple intarsia marrying the two colors.",Berroco Design Team,Knitting,Intermediate,N/A,Fall/Winter/Spring,Approximately 25” across (at widest point) x 66” long,"Berroco Folio:
Main Color – 3 balls, shown in #4534 Mount Desert
Contrast Color – 1 ball, shown in #4510 Cliff",US 7 (4.50mm) 29” circular,19 sts and 26 rows = 4” in stockinette stitch,DK,"65% Alpaca, 35% Rayon"
Iwi PDF,Downloadable PDF,"Iwi from Berroco is an over-sized drop-shoulder pullover with a quirky asymmetric hem and lace panel. With an easy fit and A-line silhouette, this pullover is a great layering piece for multi-season wear. Iwi is knit flat in pieces from the bottom up and seamed. ",Emily Nora O’Neil,Knitting,Intermediate,N/A,Fall/Winter/Spring,"Sizes in XS (S, M, L, 1X, 2X) ; to fit 30 (34, 38, 42, 46, 50)” bust
Bust  – 40 (44, 48, 52, 56, 60)""
Length (longer side) – 24 (24, 25, 25½, 26½, 27)”","5 (6, 7, 7, 8, 9) balls Berroco Folio, shown in color #4515",US 5 (3.75mm) single points and 16” circular,22 sts and 32 rows = 4” in stockinette stitch,DK,"65% Alpaca, 35% Rayon"
Kita PDF,Downloadable PDF,Berroco Kita is a simple cardigan with a surprise of contrasting color on one sleeve. ,Emily Nora O’Neil,Knitting,Beginner,N/A,Fall/Winter/Spring,"Sizes To Fit Bust Size:  30(34-38-42-46-50)”
Bust (closed) - 40(44-48-52-56-60)”
Length – 27½(28-29-29½-30½-31)”","4(4-5-5-6-7) Balls Berroco Folio:
Main Color -  #4505 Peaks
Contrast Color - 1(1-2-2-2-2) balls #4512 Criehaven",US 7 - 4.5 mm,"19 stitches and 26 rows = 4 inches
in St st",DK,"65% Alpaca, 35% Rayon"
Kurama PDF,Downloadable PDF,"Kurama from Berroco is an infinity scarf featuring two lace pattern stitches, one of which has a jagged edge that frames the face and neckline beautifully. knit flat in one piece and seamed to form the cowl, Kurama is a versatile accessory that highlights the sheen and drape of Berroco Folio.",Emily Nora O’Neil,Knitting,Intermediate,N/A,Fall/Winter,One Size; Approximately 8” wide x 84” circumference,"3 balls of Berroco Folio, shown in color #4534",US 6 (4.00mm) straights,24 sts and 28 rows = 4” in lace pattern,DK,"65% Alpaca, 35% Rayon"
Nijo PDF,Downloadable PDF,"Nijo from Berroco is a cropped pullover with a wide neck that drapes gracefully. A great layering piece to add over dresses or jeans and tees, Nijo adds color and interest with its all-over lace.  Knit flat in pieces, the front and back are seamed and stitches for the sleeves are picked up from the shoulder edges and worked flat down towards the wrist.",Berroco Design Team,Knitting,Intermediate,N/A,Fall/Winter/Spring,"Sizes: XS (S, M, L, 1X, 2X); to fit 30 (34, 38, 42, 46, 50)” bust
Bust – 36 (40, 44, 48, 52, 56)”
Length – 13½ (14, 15¼, 15¾, 16¼, 17)”","3 (3, 4, 4, 5, 6) balls Berroco Folio, shown in color #4512",US 8 (5.00mm),20 sts and 26 rows = 4” in pattern,DK,"65% Alpaca, 35% Rayon"
Folio Color Collection E-Book,eBook,"These patterns were designed to take advantage of the long color shifts in Berroco Folio Color, but could also be knit with the original Berroco Folio or with Berroco Folio Luxe. You can purchase each shawl individually as a PDF or you can purchase the entire collection as a downloadable eBook.",Berroco Design Team,Knitting,Beginner - Advanced,4,Fall/Winter,N/A,Berroco Folio Color,N/A,N/A,DK,"65% Alpaca, 35% Rayon"
Folio #344 E-Book,Downloadable PDF,"Minimal, quiet, and with soft glimpses of color, the Berroco Folio Collection is all about simple shapes and the way they are worn and draped on the body.",Berroco Design Team,Knitting,Beginner - Advanced,6,Fall/Winter/Spring,N/A,Berroco Folio,N/A,N/A,DK,"65% Alpaca, 35% Rayon"
Ethel PDF,Downloadable PDF,Blue and cream Delftware-like crocheted disks are joined to make this stunning coverlet.,Donna Yacino,Crochet,Intermediate,N/A,All Seasons,55” wide x 72” long,Berroco Comfort DK,3.75 mm (F),N/A,DK,50% Nylon / 50% Acrylic
Riley PDF,Downloadable PDF,"Berroco Riley from the Comfort for Baby collection is a precious romper for a boy or girl with snaps at the bottom and a little bib in the front. Knit with Comfort DK yarn, a machine-washable nylon and acrylic blend—perfect for baby!",Emily Nora O’Neil,Knitting,Intermediate,N/A,All Seasons,"Sizes: 3 (6, 9, 12, 18) mos
Chest – 19 (20, 21, 22, 23)""
Length – 16.5 (17.5, 18.5, 19.5, 20.5)""",2 skeins Berroco Comfort DK; shown in #2704 Peach,"US 5 (3.75mm) 16"" circular and straight needles and 2 double pointed needles","24 sts and 34 rows = 4"" in stockinette stitch",DK,50% Nylon / 50% Acrylic
Leslie PDF,Downloadable PDF,"Berroco Leslie is a button-front cardigan with garter stitch edging and a shawl collar, from the Comfort for Baby collection. This simple, unisex, grandfather cardigan is perfect to layer over any outfit. Made with Comfort DK yarn, Leslie is worked in one piece to the underarm. Sleeves are worked in the round, then joined to the body, and the yoke is worked in one piece.",Emily Nora O’Neil,Knitting,Intermediate,N/A,All Seasons,"Sizes: 3 (6, 9, 12, 18) mos
Chest (closed) – 20 (21, 22, 23, 24)""
Length – 10 (10½, 11, 11½, 12½)""","2 (3, 3, 3, 3) Balls Berroco Comfort D, shown in #2720 Hummus","US 5 (3.75mm) 29"" circular and straight needles and 2 double pointed needles","24 sts and 34 rows = 4"" in stockinette stitch",DK,50% Nylon / 50% Acrylic
Jasmine PDF,Downloadable PDF,"Berroco Jasmine is an adorable feminine & lacy bonnet from the Comfort for Baby collection. Knit with super-soft Comfort DK yarn, this bonnet will keep baby's head warm! ",Emily Nora O’Neil,Knitting,Intermediate,N/A,All Seasons,Approximately 13” wide x 7” high (not including strap),"1 skein Berroco Comfort DK, shown in #2702 Pearl",US 5 (3.75mm),24 sts and 34 rows = 4” in stockinette stitch and lace pattern,DK,50% Nylon / 50% Acrylic
Cecelia PDF,Downloadable PDF,"Berroco Cecelia is a graceful, elegant circular blanket for babies. Cecelia is knit in the round with double pointed needles until the edging is reached, at which point the edging is worked back and forth and fastened to the blanket as you work.",Emily Nora O’Neil,Knitting,Intermediate,N/A,All Seasons,Approximately 48” diameter,"6 balls of Berroco Comfort Chunky, shown in #5703 Barley","US 10½ (6.5mm) 16"" and 29"" circulars and double pointed needles",14 sts and 20 rows = 4” in stockinette stitch,Bulky,50% Nylon / 50% Acrylic
Veery PDF,Downloadable PDF,"Veery from Berroco is a sweet baby’s dress—the body begins with the garter stitch yoke, which fastens at the shoulder with a button. The skirt is picked up and worked down in the round. Knit in Berroco Comfort, a soft blend of acrylic and fine nylon that makes for a gorgeous hat with memory. No stretching out or bagginess will mar your detailed stitchery. And the best part? Machine wash and dry, and a huge array of colors.",Amy Christoffers,Knitting and Crochet,Intermediate,N/A,Fall/Winter/Spring,"Sizes: 0-3 mos (3-6 mos, 6-12 mos, 12-18 mos, 18-24mos)
Chest/Waist – 18 (19, 20, 20½, 21)”
Length – 14¼ (16, 17¾, 18¾, 19¾)”","Berroco Comfort:

Color 1 – 1 skein for all sizes shown in 9709 Jadeite
Color 2 – 1 skein for all sizes shown in 9797 Fig
Color 3 – 1 (1, 1, 2, 2) skeins shown in 9784 Slate
Color 4 – 1 skein for all sizes shown in 9799 Marigold
","Needles: US 8 (5.00mm) 16” & 24” circular
Hooks: US G/6 (4.00mm)","18 sts and 24 rows = 4” in stockinette stitch
18 sts and 40 rows = 4” in garter stitch",Worsted,50% Nylon / 50% Acrylic
Towhee PDF,Downloadable PDF,"Berroco Towhee is an adorable knitted baby pants worked in Berroco Comfort. These cute pants are knit from the top down with a folded waistband that conceals an elastic waist and turned hem cuffs. These little pants are a perfect gift to knit! Knit in Berroco Comfort, a soft blend of acrylic and fine nylon that makes for a gorgeous hat with memory. No stretching out or bagginess will mar your detailed stitchery. And the best part? Machine wash and dry, and a huge array of colors.",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter/Spring,"Sizes: 0-3 mos (3-6 mos, 6-12 mos, 12-18 mos, 18-24mos)
Waist – 18 (19, 20, 20½, 21)”
Length – 15½ (17½, 19, 20½, 21½)” including waistband","2 (2, 2, 3, 3) skeins Berroco Comfort, shown in #9797 Fig","US 6 (4.00mm) 16” circular and double pointed needles
    US 8 (5.00mm) 16” circular and double pointed needles",18 sts and 24 rows = 4” in stockinette stitch on US 8 (5.00mm),Worsted,50% Nylon / 50% Acrylic
Tanager PDF,Downloadable PDF,"Berroco Tanager is a sweet bonnet with a simple colorwork motif and I-cord ties. Knitting begins at the front edge and joined at the center back. The tassel adds to the finishing touch. Knit in Berroco Comfort, a soft blend of acrylic and fine nylon that makes for a gorgeous hat with memory. No stretching out or bagginess will mar your detailed stitchery. And the best part? Machine wash and dry, and a huge array of colors.",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter/Spring,"Sizes: Newborn (Baby, Toddler, Child)
Finished project to fit head size 13 (16, 18, 19)” – shown in Toddler size","Berroco Comfort:

Main Color: 1 skein shown in #9719 Sky
Contrast Color: 1 skein shown in #9799 Marigold","US 6 (4.00mm) single points and double pointed needles
US 8 (5.00mm) single points",18 sts and 24 rows = 4” in stockinette stitch on US 8 (5.00mm),Worsted,50% Nylon / 50% Acrylic
Ukrainian Tiles PDF,Downloadable PDF,The two-tone geometric patterns used in this afghan were inspired by the elaborate decorations on Ukrainian Easter eggs.,Margery Winter,Knitting,Advanced,N/A,All Seasons,40” wide x 53” long,"10 balls each Berroco Comfort, shown in #9755 Wild Cherry (A) and 
#9703 Barley (B)",US 8 - 9 or 5 - 5.5mm,18.0 to 20.0 sts = 4 inches,Worsted,50% Nylon / 50% Acrylic
Textured Knot PDF,Downloadable PDF,Basic two-over-two cables combine to form a lattice of intricate knots in this classic textured afghan.,Norah Gaughan,Knitting,Advanced,N/A,All Seasons,52” wide x 62” long,"17 balls of Beroco Comfort, shown in color #9756 Copen Blue",US 8 - 9 or 5 - 5.5mm,"24 stitches and 22 rows = 4 inches
in knotted cable",Worsted,50% Nylon / 50% Acrylic
Swirl PDF,Downloadable PDF,Hexagons fit together like the cells of a honeycomb in this brightly colored baby blanket.,Norah Gaughan,Knitting,Intermediate,N/A,All Seasons,42” wide x 44” long,"2 balls each Berroco Comfort, #9735 Delft Blue (A), #9726 Cornflower  (B), and #9740 Seedling (C); 1 ball each #9743 Goldenrod (D) and  #9732 Primary Yellow (E)",US 8 - 9 or 5 - 5.5mm,"
20 stitches and 24 rows = 4 inches
in seed stitch",Worsted,50% Nylon / 50% Acrylic
Spiral PDF,Downloadable PDF,"Borrowing the idea from traditional patchwork quilts, spiral blocks are built by crocheting larger triangles onto smaller ones.",Norah Gaughan,Crochet,Advanced,N/A,All Seasons,36” wide x 45” long,"5 balls each Berroco Comfort, shown in #9712 Buttercup (A) and #9721 Sprig (B)","8.0 mm (L)
9.0 mm (M/N)","14 stitches and 18 rows = 4 inches
in single crochet (US)",Worsted,50% Nylon / 50% Acrylic
Serpentine PDF,Downloadable PDF,Flat panels of double crochet are punctuated with more ornate strips of treble crochet that coil around a mesh stitch base.,Donna Yacino,Crochet,Beginner,N/A,All Seasons,45” wide x 60” long,"21 balls of Berroco Comfort, shown in #9703 Barley","3.75 mm (F)
5.0 mm (H)","18 stitches and 10 rows 
in double crochet (US) with larger hook",Worsted,50% Nylon / 50% Acrylic
Marrakesh PDF,Downloadable PDF,Three afghan stitch panels are joined and lushly embroidered with lanky folk art flowers.,Donna Yacino,Crochet,Beginner,N/A,All Seasons,45” wide x 60” long,"15 balls Berroco Comfort, shown in #9724 Pumpkin (A); 
2 balls Berroco Comfort Chunky, shown in #5703 Barley",5.0 mm (H),"18 stitches and 32 rows = 4 inches
in Tunisian stitch",Worsted and Bulky,50% Nylon / 50% Acrylic
Floret PDF,Downloadable PDF,"In this baby afghan, cables, ribs, and bobbles come together to form stylized flowers.",Norah Gaughan,Knitting and Crochet,Advanced,N/A,All Seasons,42” square,"9 balls Berroco Comfort, shown in #9744 Teal","Needle: US 8 - 5.0 mm
Hook: 5.0 mm (H)",19.0 sts = 4 inches,Worsted,50% Nylon / 50% Acrylic
Fish Ripples PDF,Downloadable PDF,The color undulations of this crocheted baby afghan are reminiscent of schools of small fish swimming in the ocean.,Margery Winter,Crochet,Intermediate,N/A,All Seasons,30” wide x 36” long,"1 ball each Berroco Comfort, #9761 Lovage (A), #9724 Pumpkin (B),#9717 Raspberry Coulis (C), #9740 Seedling (D), #97 25 Dutch Tile (E) and #9730 Teaberry (F)","
4.0 mm (G)","15 stitches and 14 rows = 4 inches
in Fish Ripples Pattern",Worsted,50% Nylon / 50% Acrylic
Dots PDF,Downloadable PDF,Solid crochet dots are surrounded by a lacy filet mesh in this coverlet.,Donna Yacino,Crochet,Intermediate,N/A,All Seasons,45” wide x 60” long,"8 balls Berroco Comfort, #9703 Barley (MC); 3 balls each #9728 Raspberry Sorbet (B) and #9748 Aunt Martha Green (C); 2 balls #9717 Raspberry Coulis (A)",5.0 mm (H),19.0 sts = 4 inches,Worsted,50% Nylon / 50% Acrylic
Bright Star PDF,Downloadable PDF,Brightly colored stars form in this afghan composed mostly of mitered garter stitch squares.,Norah Gaughan,Knitting ,Intermediate,N/A,All Seasons,50” wide x 60” long,"4 balls each Berroco Comfort, #9725 Dutch Tile (A), #9724 Pumpkin (B), and #9743 Goldenrod (C); 3 balls each #9753 Aegean Sea (D) and #9717 Raspberry Coulis (E)",US 9 - 5.5 mm,"18 stitches and 34 rows = 4 inches
in garter stitch",Worsted,50% Nylon / 50% Acrylic
Aran PDF,Downloadable PDF,"In this textured afghan, cables twist and weave together to form an elaborate motif reminiscent of the traditional sweaters of the Aran Islands.",Norah Gaughan,Knitting ,Advanced,N/A,All Seasons,53” wide x 64” long,"15 balls Berroco Comfort, #9720 Hummus","8.0 mm (L)
9.0 mm (M/N)",19.0 sts = 4 inches,Worsted,50% Nylon / 50% Acrylic
Rabbit PDF,Downloadable PDF,"With extra long ears and a large pom-pom for a tail, Rabbit will fit right in with the rest of your little one’s menagerie of toys.",Emily Nora O’Neil,Knitting ,Beginner,N/A,N/A,Approximately 11” around body x 12½” high (not including ears),"1 Ball Berroco Comfort, shown in  #9701 Ivory (Main Color) and 1 yd. # 9705 Pretty Pink (Contrast Color) for nose",US 8 (5mm) double pointed needles,20 sts and 26 rnds = 4” in stockinette stitch,Worsted,50% Nylon / 50% Acrylic
Luca PDF,Downloadable PDF,Luca is a miniature gansey pullover with buttons at the neck for easy dressing made with machine washable Berroco Comfort yarn.,Emily Nora O’Neil,Knitting ,Intermediate,N/A,Fall/Winter/Spring,"Sizes for infants ages, 3 mos, 6 mos, 9 mos, 12 mos and 18 mos 
To Fit Chest Size:  17(18-19-20-21)˝
Chest – 20(21-22-23-24)˝
Length – 9½(10-10½-11-11½)˝","2 Balls of Berroco Comfort, shown in #9715 Lavender Frost","US 8 (5mm) straight and 16"" circular needles","20 sts and 26 rows = 4"" in stockinette stitch and pattern stitch",Worsted,50% Nylon / 50% Acrylic
Ivy PDF,Downloadable PDF,"Keep baby snug and cozy with Berroco Ivy, a sweet blanket pattern from the Comfort for Baby collection. Knit flat on circular needles with Comfort yarn, this highly textured blanket is just the right size for baby. ",Emily Nora O’Neil,Knitting ,Beginner,N/A,All Seasons,"Approximately 28½"" wide and 30"" long","3 skeins Berroco Comfort, shown in #9764 Lidfors","US 8 (5mm) 29"" circular needles, 16"" circular needles, and one set of double pointed needles",18 sts and 22 rows = 4” in stitch pattern,Worsted,50% Nylon / 50% Acrylic
Carrot PDF,Downloadable PDF,Knit the cute Carrot pattern from Berroco's Comfort for Baby collection. The carrot and leaves are knit in the round. Carrot is the perfect toy for a bunny-loving baby!,Emily Nora O’Neil,Knitting ,Beginner,N/A,N/A,Approximately 9” around (at widest point) x 12” long (including leaves),"1 Ball Berroco Comfort, #9724 Pumpkin (Main Color) and 1 ball #9721 Sprig (Contrast Color)",US 8 (5mm) double pointed needles,20 sts and 26 rnds = 4” in stockinette stitch,Worsted,50% Nylon / 50% Acrylic
